Duplicate Votes by County Stats:
   Updated from data as of 2020-10-31 23:59:59 CDT

    county     | count | republican | democrat
 CASS          |     2 |      79.11 |    19.39
 VICTORIA      |     2 |      68.49 |    28.50
 HOPKINS       |     2 |      79.43 |    18.61
 HILL          |     2 |      78.06 |    19.64
 KIMBLE        |     2 |      87.25 |    10.59
 WEBB          |     2 |      22.77 |    74.38
 HARDIN        |     2 |      86.09 |    12.21
 GRIMES        |     2 |      74.15 |    23.03
 PANOLA        |     2 |      81.10 |    17.62
 ERATH         |     2 |      81.14 |    15.63
 ELLIS         |     2 |      71.05 |    25.68
 CROSBY        |     2 |      68.93 |    27.34
 YOAKUM        |     2 |      78.16 |    18.53
 BROWN         |     2 |      86.10 |    11.62
 LAMPASAS      |     2 |      78.18 |    18.15
 COOKE         |     2 |      82.89 |    14.75
 BORDEN        |     2 |      90.41 |     8.49
 ARANSAS       |     2 |      73.85 |    23.48
 LLANO         |     2 |      79.82 |    17.59
 CLAY          |     2 |      87.33 |    10.70
 IRION         |     1 |      86.84 |    11.84
 GRAYSON       |     1 |      74.94 |    21.83
 SOMERVELL     |     1 |      82.71 |    13.93
 CHEROKEE      |     1 |      77.22 |    20.75
 SAN PATRICIO  |     1 |      60.45 |    36.37
 ATASCOSA      |     1 |      63.20 |    34.07
 NUECES        |     1 |      48.77 |    47.23
 WASHINGTON    |     1 |      74.21 |    22.93
 LUBBOCK       |     1 |      66.86 |    28.51
 GUADALUPE     |     1 |      63.78 |    32.00
 ROBERTS       |     1 |      95.27 |     3.64
(165 rows)

SQL to Reproduce:

    SELECT
        dupes.county, COUNT(*),
        ROUND(c2016.republican * 100, 2) republican, ROUND(c2016.democrat * 100, 2) democrat
    FROM
    (
        SELECT
            county, last_name, given_names, v.voter_id,
            voting_method, precinct, recorded_on
        FROM voter_rolls_v2 v
        JOIN (
            SELECT voter_id, COUNT(*)
            FROM voter_rolls_v2
            WHERE voter_id != 0
            GROUP BY voter_id
            HAVING COUNT(*) > 1
        ) v2 ON v2.voter_id=v.voter_id
        ORDER BY county, v.last_name, v.given_names
    ) dupes
    JOIN counties_by_pol_party_2016_v2 c2016
        ON c2016.county=dupes.county
    GROUP BY dupes.county
    ORDER BY COUNT(*) DESC;
